object_type,artifact_name,required,required_if,enabled_in_config,artifact_status,path,hash,validation_status
artifact,phase5_locked_test_evaluation_dataset,True,,True,CREATED,data\evaluation\phase5\phase5_locked_test_evaluation_dataset.parquet,a860593ccd8447a05dbe2fe0e33142a41960d0b68654d721e43da5c7e9916de6,PASS
artifact,phase5_locked_test_metrics_report,True,,True,CREATED,artifacts\metadata\phase5_locked_test_metrics_report.csv,ef4194d340b9cb51bbfd0905cc875b95f889d4b512ea57c2e6e5322937b22e7a,PASS
artifact,phase5_baseline_locked_test_predictions,True,,True,CREATED,data\evaluation\phase5\phase5_baseline_locked_test_predictions.parquet,2c6b8fcdddfe705e4e78dd16368cd7965912a99fb18f482a156b96c11d70cdc5,PASS
artifact,phase5_baseline_comparison_report,True,,True,CREATED,artifacts\metadata\phase5_baseline_comparison_report.csv,a149d50f12196c60568b15f970e400545a7c9f689dd37f8d40f7e0cbf7cc3b10,PASS
artifact,phase5_statistical_significance_report,True,,True,CREATED,artifacts\metadata\phase5_statistical_significance_report.csv,a88c536ae967493dff04575b3194a01661a428cf2947bffe8ee5b2c13c80c5ef,PASS
artifact,phase5_validation_test_gap_report,True,,True,CREATED,artifacts\metadata\phase5_validation_test_gap_report.csv,93f897f332deabf04e1afb8a5fb920a1957feaf9c53e459152e140852ac0760f,PASS
artifact,phase5_claim_registry,True,,True,CREATED,artifacts\metadata\phase5_claim_registry.json,e474ffff0fbc2acaf20f0fd041ef07400a3aaf4a2338b65d79d0b64a17251fc6,PASS
artifact,phase5_limitation_registry,True,,True,CREATED,artifacts\metadata\phase5_limitation_registry.json,d28fd412144f13bf6c8b06007eb409a421e50204d8f741bc357191cbaa6617c4,PASS
artifact,phase5_trade_signal_dataset,True,,True,CREATED,data\backtests\phase5\phase5_trade_signal_dataset.parquet,c9d993dd6b58fa8c1ed62366d16906156eb0db8820ef84620045e8936b2585e6,PASS
artifact,phase5_trade_ledger,True,,True,CREATED,data\backtests\phase5\phase5_trade_ledger.parquet,56cb0c31a1191bc54aa550b6d6d31c6cd5f6ca7b7341f5b4628a606915acdbce,PASS
artifact,phase5_backtest_performance_report,True,,True,CREATED,data\backtests\phase5\phase5_backtest_performance_report.csv,1ad09e409674b55d41f9467e400a2d8e1046dbcf9961ba1a7ed5500c782733b3,PASS
artifact,phase5_transaction_cost_robustness_report,True,,True,CREATED,data\backtests\phase5\phase5_transaction_cost_robustness_report.csv,d7a78577d89507e988529a9d54ccb34ffe8e3a20a6fcc6973a7828ac37bd493b,PASS
artifact,phase5_final_evaluation_decision,True,,True,CREATED,artifacts\metadata\phase5_final_evaluation_decision.json,3709fc8c13eee57664ea3186409b82367291db41029f11503d45a19c0a3b1f99,PASS
