object_type,artifact_name,required,required_if,enabled_in_config,artifact_status,path,hash,validation_status
artifact,phase8_editorial_status_registry,True,,True,CREATED,artifacts\metadata\phase8_editorial_status_registry.json,7c116af98d78fa2f343c2965feba52ce39f639497c45fd118641832383216b7a,PASS
artifact,phase8_editorial_communication_registry,True,,True,CREATED,artifacts\metadata\phase8_editorial_communication_registry.json,4e2dc37092aa3c099954f829fb74e67adfd58b574f90b70c5f2fe0cd753a8a01,PASS
artifact,phase8_reviewer_request_registry,True,,True,CREATED,artifacts\metadata\phase8_reviewer_request_registry.json,657443c80f472c13392c3d2a7b77d3bf50c1ef1563fb50edf29c5acde4dacf24,PASS
artifact,phase8_revision_action_registry,True,,True,CREATED,artifacts\metadata\phase8_revision_action_registry.json,f68dd93b7fe709cc65dd2c1d6ee9d1d7890463fd755c376546440627dfbcbd38,PASS
artifact,phase8_extension_request_registry,True,,True,CREATED,artifacts\metadata\phase8_extension_request_registry.json,e669f630b049a82e7d661fcbd6a4e186db903903c9769c2adbbc5caff6b03ab8,PASS
artifact,phase8_transfer_offer_registry,True,,True,CREATED,artifacts\metadata\phase8_transfer_offer_registry.json,e842696479b1d10bf6e16caf4cc301065371689a3c0c3237b0c93064d139b446,PASS
artifact,phase8_submission_receipt,True,,True,CREATED,artifacts\metadata\phase8_submission_receipt.json,7f73ade75c3e9204328684817eac32ef037e6895da3ad219e84d466fd4f06e5b,PASS
artifact,phase8_portal_privacy_policy,True,,True,CREATED,artifacts\metadata\phase8_portal_privacy_policy.json,1caaf4036de455b721c5384a3bfa9c921ca71bab9217daf5843f221dab2318d2,PASS
artifact,phase8_operating_mode_registry,True,,True,CREATED,artifacts\metadata\phase8_operating_mode_registry.json,270b41f83799bd83526ba60424dfe41c4b9f3d3be8036163aa8abbe5704a6a9b,PASS
artifact,phase8_final_submission_execution_decision,True,,True,CREATED,artifacts\metadata\phase8_final_submission_execution_decision.json,7dcc3febacf450c9d694710a2f6842817c5d91cdddc2d76ec3def2e64ead3724,PASS
artifact,phase8_external_submission:manual_authorization_and_target_journal_required,False,manual_authorization_and_target_journal_required,False,DEFERRED,,,NOT_APPLICABLE
