object_type,artifact_name,required,required_if,enabled_in_config,artifact_status,path,hash,validation_status
artifact,phase10_editorial_status_registry,True,,True,CREATED,artifacts\metadata\phase10_editorial_status_registry.json,5b8dc7178595f98af7ae4788a5b9275e95d123e437ea6d6245d7c756c5d5d5bb,PASS
artifact,phase10_editorial_communication_registry,True,,True,CREATED,artifacts\metadata\phase10_editorial_communication_registry.json,94c37356ef7656665d2aa5ad2e5d3663e0a0618dbfb58d76bc4ae992b2a63080,PASS
artifact,phase10_reviewer_request_registry,True,,True,CREATED,artifacts\metadata\phase10_reviewer_request_registry.json,3aa1bc0a6532d6ecb8164e2fce7282d53b32963570c526c106680a211766bb3f,PASS
artifact,phase10_revision_action_registry,True,,True,CREATED,artifacts\metadata\phase10_revision_action_registry.json,aeab99d4aa3189255ceea26ef9fca5946b76d13ff0915904b3c9bbcc72ffc4bf,PASS
artifact,phase10_extension_request_registry,True,,True,CREATED,artifacts\metadata\phase10_extension_request_registry.json,068444152eda50266033cc3bd10b16b91b4b5423a577d578d28314714346ea11,PASS
artifact,phase10_transfer_offer_registry,True,,True,CREATED,artifacts\metadata\phase10_transfer_offer_registry.json,9e813a85adceae31336d117171c270daf4000920abd8bc9e60c4a6502dff63ff,PASS
artifact,phase10_submission_receipt,True,,True,CREATED,artifacts\metadata\phase10_submission_receipt.json,d829a1b6f8f6eba1e0cebbafb3cd1efffe7192d90b5ef3a9e200a8db60d1ca1c,PASS
artifact,phase10_portal_privacy_policy,True,,True,CREATED,artifacts\metadata\phase10_portal_privacy_policy.json,1caaf4036de455b721c5384a3bfa9c921ca71bab9217daf5843f221dab2318d2,PASS
artifact,phase10_operating_mode_registry,True,,True,CREATED,artifacts\metadata\phase10_operating_mode_registry.json,382a16b62153e6f74eae9d91003777d841f1ba1fbd5556e86f83c306016b388b,PASS
artifact,phase10_final_lifecycle_decision,True,,True,CREATED,artifacts\metadata\phase10_final_lifecycle_decision.json,6b36bfb7cc9eee8a724566f4073da4491da2a03a6fda4da443a548478a25be31,PASS
artifact,phase10_external_submission:manual_authorization_and_target_journal_required,False,manual_authorization_and_target_journal_required,False,DEFERRED,,,NOT_APPLICABLE
