object_type,artifact_name,required,required_if,enabled_in_config,artifact_status,path,hash,validation_status
artifact,phase11_editorial_status_registry,True,,True,CREATED,artifacts\metadata\phase11_editorial_status_registry.json,0265e6d9e024f42593b8969fe7ab63909abdd64c3add2ca836fb7df4bc37e549,PASS
artifact,phase11_editorial_communication_registry,True,,True,CREATED,artifacts\metadata\phase11_editorial_communication_registry.json,3534ce99c5c814dcedd77295998321b3edfd310c3a4996d557820305db80ee8c,PASS
artifact,phase11_reviewer_request_registry,True,,True,CREATED,artifacts\metadata\phase11_reviewer_request_registry.json,2a94275253b099b858d9c870356be690eb2b3f2d982f5d44b85cac515004613f,PASS
artifact,phase11_revision_action_registry,True,,True,CREATED,artifacts\metadata\phase11_revision_action_registry.json,c9c69082c9d8c7f923d590cf31d3d21c52bd9c0bff5ddd344ecde105dddcf171,PASS
artifact,phase11_extension_request_registry,True,,True,CREATED,artifacts\metadata\phase11_extension_request_registry.json,c974e7afa172d834b1cef8f4bb6b03fce16baea5c58df4f435a909c831d7904d,PASS
artifact,phase11_transfer_offer_registry,True,,True,CREATED,artifacts\metadata\phase11_transfer_offer_registry.json,be298acc952e7c6af615f1de6c55375e5cbcb31fb2cea5f1edef754a7718e14e,PASS
artifact,phase11_submission_receipt,True,,True,CREATED,artifacts\metadata\phase11_submission_receipt.json,fd5424172b365984eafebf7ea1c26f6c7b6172d92faef608b36810a48ce851d9,PASS
artifact,phase11_portal_privacy_policy,True,,True,CREATED,artifacts\metadata\phase11_portal_privacy_policy.json,1caaf4036de455b721c5384a3bfa9c921ca71bab9217daf5843f221dab2318d2,PASS
artifact,phase11_operating_mode_registry,True,,True,CREATED,artifacts\metadata\phase11_operating_mode_registry.json,9b17914827a23d2e542d1b7bb44b0fc79dc8075250981978ad6b82984441fc13,PASS
artifact,phase11_final_continuation_decision,True,,True,CREATED,artifacts\metadata\phase11_final_continuation_decision.json,cc55a94688f750e4bcbcf1ea5046f616bd64a05b8435aa3911daa58da6d2415d,PASS
artifact,phase11_external_submission:manual_authorization_and_target_journal_required,False,manual_authorization_and_target_journal_required,False,DEFERRED,,,NOT_APPLICABLE
